Game Date,Home Team,Home Team Score,Away Team,Away Team Score,temperature,weather,wind,season,week
9/8/13,Bengals,21,Bears,24,77 F,Mostly Cloudy,13,2013,1
9/9/12,Falcons,40,Chiefs,24,73 F,Fair,6,2012,1
9/11/11,Vikings,17,Chargers,24,74 F,Fair,10,2011,1
9/12/11,Patriots,38,Dolphins,24,82 F,Fair,5,2011,1
9/10/23,Texans,9,Ravens,25,78 F,Chance Thunderstorms,6,2023,1
9/13/20,Seahawks,38,Falcons,25,80 F,Partly Cloudy,3,2020,1
9/14/09,Bills,24,Patriots,25,73 F,Fair,4,2009,1
9/8/24,Broncos,20,Seahawks,26,65 F,Mostly Cloudy,7,2024,1
9/8/24,Rams,20,Lions,26,69 F,Clear,7,2024,1
9/11/22,Saints,27,Falcons,26,78 F,Mostly Cloudy,2,2022,1
9/8/19,Chiefs,40,Jaguars,26,93 F,Clear,3,2019,1
9/14/15,Eagles,24,Falcons,26,65 F,Clear,2,2015,1
9/9/12,Jaguars,23,Vikings,26,69 F,A Few Clouds,3,2012,1
9/5/24,Ravens,20,Chiefs,27,84 F,Partly Cloudy,6,2024,1
9/8/24,Texans,29,Colts,27,64 F,Mostly Cloudy,0,2024,1
9/12/21,Vikings,24,Bengals,27,82 F,Clear,11,2021,1
9/13/20,Eagles,17,Washington,27,76 F,Partly Cloudy,4,2020,1
9/13/20,Colts,20,Jaguars,27,86 F,Humid And Mostly Cloudy,8,2020,1
9/13/20,Jets,17,Bills,27,65 F,Overcast,12,2020,1
9/8/19,Rams,30,Panthers,27,85 F,Clear,3,2019,1
9/8/19,Lions,27,Cardinals,27,97 F,Partly Cloudy,6,2019,1
9/9/18,Texans,20,Patriots,27,62 F,Mostly Cloudy,6,2018,1
9/9/18,Titans,20,Dolphins,27,88 F,Rain,N/A,2018,1
9/9/18,Seahawks,24,Broncos,27,85 F,Clear,3,2018,1
9/7/17,Chiefs,42,Patriots,27,62 F,Clear,1,2017,1
9/13/15,Colts,14,Bills,27,53 F,Mostly Cloudy,7,2015,1
9/13/15,Giants,26,Cowboys,27,78 F,Clear,9,2015,1
9/8/13,Cardinals,24,Rams,27,83 F,Mostly Cloudy,7,2013,1
9/9/13,Eagles,33,Washington,27,72 F,Mostly Cloudy,4,2013,1
9/9/12,Rams,23,Lions,27,69 F,Overcast,5,2012,1
9/11/11,Cowboys,24,Jets,27,71 F,Fair,5,2011,1
9/11/22,Jaguars,22,Washington,28,74 F,Humid And Overcast,5,2022,1
9/8/19,Falcons,12,Vikings,28,54 F,Light Rain,3,2019,1
9/9/18,Chiefs,38,Chargers,28,85 F,Clear,5,2018,1
9/12/16,Rams,0,49ers,28,60 F,Clear,6,2016,1
9/10/15,Steelers,21,Patriots,28,64 F,Light Rain,9,2015,1
9/9/13,Texans,31,Chargers,28,66 F,Na,3,2013,1
9/11/11,Giants,14,Washington,28,82 F,Fair,9,2011,1
9/11/11,Panthers,21,Cardinals,28,97 F,Mostly Cloudy,4,2011,1
,,,,,,,,,
,,,,,,,,,
9/13/09,Rams,0,Seahawks,28,74 F,Fair,5,2009,1
9/11/17,Saints,19,Vikings,29,79 F,Clear,1,2017,1
9/11/16,Browns,10,Eagles,29,83 F,Clear,9,2016,1
9/13/20,Raiders,34,Panthers,30,79 F,Clear,3,2020,1
9/8/19,Colts,24,Chargers,30,73 F,Clear,6,2019,1
9/9/19,Texans,28,Saints,30,90 F,Humid And Mostly Cloudy,5,2019,1
9/7/14,Browns,27,Steelers,30,72 F,A Few Clouds,6,2014,1
9/9/12,Dolphins,10,Texans,30,83 F,A Few Clouds,10,2012,1
9/11/11,Falcons,12,Bears,30,78 F,Partly Cloudy,6,2011,1
9/9/21,Cowboys,29,Buccaneers,31,80 F,Humid And Partly Cloudy,6,2021,1
9/13/15,Browns,10,Jets,31,76 F,Partly Cloudy,7,2015,1
9/13/15,Saints,19,Cardinals,31,102 F,Partly Cloudy,4,2015,1
9/7/14,Colts,24,Broncos,31,70 F,Partly Cloudy,6,2014,1
9/9/12,Steelers,19,Broncos,31,82 F,A Few Clouds,9,2012,1
9/9/24,Jets,19,49ers,32,77 F,Clear,13,2024,1
9/8/19,Washington,27,Eagles,32,79 F,Partly Cloudy,4,2019,1
9/9/12,Washington,40,Saints,32,80 F,Partly Cloudy,9,2012,1
9/12/21,49ers,41,Lions,33,80 F,Mostly Cloudy,10,2021,1
9/12/21,Browns,29,Chiefs,33,88 F,Clear,11,2021,1
9/13/21,Ravens,27,Raiders,33,100 F,Clear,12,2021,1
9/8/19,Steelers,3,Patriots,33,64 F,Partly Cloudy,3,2019,1
9/11/16,Chargers,27,Chiefs,33,73 F,Clear,7,2016,1
9/13/15,Lions,28,Chargers,33,82 F,Clear,8,2015,1
9/7/14,Patriots,20,Dolphins,33,89 F,Fair,13,2014,1
9/11/11,Seahawks,17,49ers,33,71 F,Partly Cloudy,6,2011,1
9/6/24,Packers,29,Eagles,34,63 F,Mostly Cloudy,7,2024,1
9/8/24,Cardinals,28,Bills,34,61 F,Mostly Cloudy,16,2024,1
9/10/23,Dolphins,36,Chargers,34,85 F,Clear,10,2023,1
9/12/21,Bears,14,Rams,34,75 F,Clear,7,2021,1
9/10/20,Texans,20,Chiefs,34,58 F,Overcast,6,2020,1
9/13/20,Packers,43,Vikings,34,64 F,Clear,2,2020,1
9/13/20,Buccaneers,23,Saints,34,88 F,Humid And Partly Cloudy,10,2020,1
9/11/16,Raiders,35,Saints,34,88 F,Partly Cloudy,3,2016,1
9/13/15,Seahawks,31,Rams,34,71 F,Clear,3,2015,1
9/7/14,Jaguars,17,Eagles,34,80 F,Partly Cloudy,6,2014,1
9/8/13,Vikings,24,Lions,34,72 F,Fair,8,2013,1
9/8/13,Packers,28,49ers,34,66 F,Na,0,2013,1
9/11/11,Colts,7,Texans,34,92 F,A Few Clouds,3,2011,1
9/11/22,Eagles,38,Lions,35,74 F,Mostly Cloudy,8,2022,1
9/8/19,Giants,17,Cowboys,35,97 F,Clear,9,2019,1
9/10/17,Cardinals,23,Lions,35,64 F,Partly Cloudy,4,2017,1
9/11/16,Lions,39,Colts,35,76 F,Partly Cloudy,0,2016,1
9/8/14,Giants,14,Lions,35,68 F,Fair,3,2014,1
9/11/11,Steelers,7,Ravens,35,70 F,Light Rain,4,2011,1
9/4/14,Packers,16,Seahawks,36,70 F,Fair,5,2014,1
9/8/13,Giants,31,Cowboys,36,86 F,Fair,3,2013,1
9/8/24,Washington,20,Buccaneers,37,90 F,Mostly Cloudy,6,2024,1
9/12/21,Jaguars,21,Texans,37,87 F,Partly Cloudy,8,2021,1
9/7/14,Saints,34,Falcons,37,83 F,Thunderstorm,6,2014,1
9/12/21,Packers,3,Saints,38,84 F,Partly Cloudy,6,2021,1
9/13/20,Browns,6,Ravens,38,75 F,Partly Cloudy,5,2020,1
9/13/09,Chiefs,24,Ravens,38,68 F,Mostly Cloudy,9,2009,1
9/9/18,Buccaneers,48,Saints,40,88 F,Humid And Mostly Cloudy,1,2018,1
9/9/12,Colts,21,Bears,41,70 F,Mostly Cloudy,11,2012,1
9/8/11,Saints,34,Packers,42,63 F,Fair,0,2011,1
9/10/12,Bengals,13,Ravens,44,60 F,Fair,0,2012,1
9/13/09,Lions,27,Saints,45,86 F,Light Rain,10,2009,1
9/10/17,Colts,9,Rams,46,85 F,Clear,4,2017,1
9/8/24,Panthers,10,Saints,47,80 F,Clear,11,2024,1
9/9/18,Bills,3,Ravens,47,62 F,Light Rain,11,2018,1
9/9/12,Bills,28,Jets,48,77 F,Fair,4,2012,1
9/5/13,Ravens,27,Broncos,49,81 F,Mostly Cloudy,3,2013,1
9/9/10,Vikings,9,Saints,14,87 F,Thunderstorm,6,2010,1
9/12/10,Dolphins,15,Bills,10,64 F,Overcast,6,2010,1
9/12/10,Colts,24,Texans,34,88 F,Partly Cloudy,3,2010,1
9/12/10,Lions,14,Bears,19,73 F,Fair,9,2010,1
9/12/10,Falcons,9,Steelers,15,64 F,Overcast,4,2010,1
9/12/10,Browns,14,Buccaneers,17,87 F,A Few Clouds,3,2010,1
9/12/10,Bengals,24,Patriots,38,63 F,A Few Clouds,9,2010,1
9/12/10,Broncos,17,Jaguars,24,91 F,Partly Cloudy,6,2010,1
9/12/10,Raiders,13,Titans,38,76 F,A Few Clouds,8,2010,1
9/12/10,Panthers,18,Giants,31,65 F,Light Rain,9,2010,1
9/12/10,49ers,6,Seahawks,31,64 F,Overcast,8,2010,1
9/12/10,Cardinals,17,Rams,13,82 F,Fair,5,2010,1
9/12/10,Packers,27,Eagles,20,67 F,Overcast,3,2010,1
9/12/10,Cowboys,7,Washington,13,65 F,Overcast,6,2010,1
9/13/10,Ravens,10,Jets,9,73 F,Thunderstorm Light Rain,5,2010,1
9/13/10,Chargers,14,Chiefs,21,81 F,Fair,12,2010,1
9/19/21,Bills,35,Dolphins,0,88 F,Humid And Partly Cloudy,6,2021,2
9/15/19,Patriots,43,Dolphins,0,90 F,Humid And Mostly Cloudy,9,2019,2
11/14/24,Washington,7,Eagles,0,46 F,Overcast,13,2010,2
9/15/24,Chargers,26,Panthers,3,76 F,Mostly Cloudy,14,2024,2
9/16/19,Browns,23,Jets,3,71 F,Mostly Cloudy,1,2019,2
9/15/24,Steelers,13,Broncos,6,82 F,Mostly Cloudy,10,2024,2
9/19/21,Patriots,25,Jets,6,75 F,Clear,8,2021,2
9/21/15,Jets,20,Colts,7,59 F,Clear,3,2015,2
9/14/14,Patriots,30,Vikings,7,65 F,Mostly Cloudy,11,2014,2
9/16/12,Texans,27,Jaguars,7,85 F,Mostly Cloudy,9,2012,2
9/17/23,Chiefs,17,Jaguars,9,86 F,Mostly Cloudy,5,2023,2
9/16/18,Colts,21,Washington,9,73 F,Mostly Cloudy,5,2018,2
9/14/17,Texans,13,Bengals,9,67 F,Mostly Cloudy,0,2017,2
9/17/17,Bills,3,Panthers,9,81 F,Partly Cloudy,3,2017,2
9/18/16,Seahawks,3,Rams,9,85 F,Clear,4,2016,2
9/20/09,Rams,7,Washington,9,68 F,Fair,5,2009,2
9/12/24,Bills,31,Dolphins,10,87 F,Clear,3,2024,2
9/18/22,Buccaneers,20,Saints,10,86 F,Humid And Mostly Cloudy,5,2022,2
9/15/19,Chiefs,28,Raiders,10,66 F,Partly Cloudy,9,2019,2
9/18/17,Lions,24,Giants,10,70 F,Partly Cloudy,2,2017,2
9/20/15,Cowboys,20,Eagles,10,74 F,Clear,7,2015,2
9/14/14,Cowboys,26,Titans,10,77 F,Mostly Cloudy,6,2014,2
9/20/09,Raiders,13,Chiefs,10,70 F,Overcast,4,2009,2
9/19/21,49ers,17,Eagles,11,76 F,Clear,7,2021,2
9/16/18,Dolphins,20,Jets,12,82 F,Clear,3,2018,2
9/17/17,49ers,9,Seahawks,12,63 F,Drizzle,5,2017,2
9/15/24,Browns,18,Jaguars,13,80 F,Overcast,10,2024,2
9/19/21,Broncos,23,Jaguars,13,80 F,Humid And Overcast,9,2021,2
9/20/20,49ers,31,Jets,13,61 F,Clear,9,2020,2
9/15/19,Chargers,10,Lions,13,69 F,Overcast,7,2019,2
9/15/19,Jaguars,12,Texans,13,90 F,Partly Cloudy,11,2019,2
9/17/17,Cardinals,16,Colts,13,84 F,Clear,3,2017,2
9/12/13,Jets,10,Patriots,13,72 F,Thunderstorm Rain Fog/Mist,4,2013,2
9/18/11,Texans,23,Dolphins,13,87 F,A Few Clouds,10,2011,2
9/20/09,Vikings,27,Lions,13,68 F,Fair,4,2009,2
9/18/22,Patriots,17,Steelers,14,79 F,Clear,3,2022,2
9/12/19,Buccaneers,20,Panthers,14,86 F,Drizzle,1,2019,2
9/15/19,Bills,28,Giants,14,80 F,Partly Cloudy,2,2019,2
9/15/19,Bears,16,Broncos,14,88 F,Mostly Cloudy,4,2019,2
9/19/16,Eagles,29,Bears,14,80 F,Clear,2,2016,2
9/14/14,Cardinals,25,Giants,14,71 F,Fair,5,2014,2
9/14/14,Texans,30,Raiders,14,73 F,A Few Clouds,10,2014,2
9/15/13,Browns,6,Ravens,14,78 F,Partly Cloudy,0,2013,2
9/15/13,Saints,16,Buccaneers,14,75 F,Overcast,7,2013,2
9/18/16,Titans,16,Lions,15,77 F,Clear,3,2016,2
9/15/24,Buccaneers,20,Lions,16,81 F,Clear,8,2024,2
9/15/24,Colts,10,Packers,16,82 F,Clear,7,2024,2
9/18/22,Texans,9,Broncos,16,80 F,Foggy,6,2022,2
9/20/20,Ravens,33,Texans,16,74 F,Rain,15,2020,2
9/17/17,Titans,37,Jaguars,16,86 F,Clear,7,2017,2
9/18/16,Saints,13,Giants,16,79 F,Partly Cloudy,5,2016,2
9/20/09,Patriots,9,Jets,16,68 F,Fair,3,2009,2
9/15/24,Jets,24,Titans,17,81 F,Clear,9,2024,2
9/17/23,Dolphins,24,Patriots,17,64 F,Clear,0,2023,2
9/18/23,Saints,20,Panthers,17,76 F,Clear,5,2023,2
9/19/21,Raiders,26,Steelers,17,79 F,Clear,2,2021,2
9/19/21,Cowboys,20,Chargers,17,72 F,Clear,6,2021,2
9/20/20,Giants,13,Bears,17,65 F,Clear,9,2020,2
9/15/19,Colts,19,Titans,17,92 F,Clear,1,2019,2
9/15/19,49ers,41,Bengals,17,82 F,Clear,3,2019,2
9/17/17,Dolphins,19,Chargers,17,71 F,Partly Cloudy,3,2017,2
9/18/16,Packers,14,Vikings,17,74 F,Mostly Cloudy,4,2016,2
9/14/14,Rams,19,Buccaneers,17,78 F,Mostly Cloudy,0,2014,2
9/15/13,Cowboys,16,Chiefs,17,79 F,A Few Clouds,3,2013,2
9/20/09,Cardinals,31,Jaguars,17,87 F,Mostly Cloudy,6,2009,2
9/20/09,Steelers,14,Bears,17,70 F,Overcast,12,2009,2
9/15/24,Giants,18,Washington,18,75 F,Partly Cloudy,7,2024,2
9/16/12,Cardinals,20,Patriots,18,71 F,Fair,11,2012,2
9/15/24,Saints,44,Cowboys,19,84 F,Clear,7,2024,2
9/15/24,Bears,13,Texans,19,88 F,Mostly Cloudy,8,2024,2
9/18/22,Panthers,16,Giants,19,79 F,Clear,10,2022,2
9/20/20,Rams,37,Eagles,19,62 F,Clear,8,2020,2
9/18/16,Chiefs,12,Texans,19,89 F,Partly Cloudy,2,2016,2
9/20/15,Buccaneers,26,Saints,19,92 F,Clear,2,2015,2
9/15/13,Jaguars,9,Raiders,19,72 F,Fair,9,2013,2
9/18/11,Browns,27,Colts,19,66 F,Overcast,8,2011,2
9/15/24,Seahawks,20,Patriots,20,79 F,Clear,8,2024,2
9/17/23,Colts,31,Texans,20,88 F,Clear,8,2023,2
9/17/23,49ers,30,Rams,20,70 F,Overcast,5,2023,2
9/18/22,Bengals,17,Cowboys,20,93 F,Clear,7,2022,2
9/19/21,Bengals,17,Bears,20,80 F,Clear,5,2021,2
9/20/20,Chiefs,23,Chargers,20,76 F,Clear,6,2020,2
9/16/18,Texans,17,Titans,20,81 F,Partly Cloudy,7,2018,2
9/16/18,Chargers,31,Bills,20,79 F,Clear,7,2018,2
9/16/18,Raiders,19,Broncos,20,90 F,Clear,3,2018,2
9/16/18,Giants,13,Cowboys,20,87 F,Partly Cloudy,2,2018,2
9/17/17,Patriots,36,Saints,20,87 F,Clear,3,2017,2
9/17/17,Washington,27,Rams,20,71 F,Mostly Cloudy,4,2017,2
9/18/16,Ravens,25,Browns,20,75 F,Partly Cloudy,5,2016,2
9/20/15,Falcons,24,Giants,20,77 F,Clear,7,2015,2
9/14/14,Bears,28,49ers,20,73 F,A Few Clouds,9,2014,2
9/15/13,Dolphins,24,Colts,20,76 F,Overcast,12,2013,2
9/16/13,Steelers,10,Bengals,20,58 F,Fair,3,2013,2
9/18/11,Buccaneers,24,Vikings,20,57 F,Light Rain Fog/Mist,6,2011,2
9/16/24,Falcons,22,Eagles,21,71 F,Overcast,6,2024,2
9/15/19,Cowboys,31,Washington,21,82 F,Clear,3,2019,2
9/15/19,Vikings,16,Packers,21,72 F,Overcast,3,2019,2
9/16/18,Browns,18,Saints,21,91 F,Drizzle,1,2018,2
9/18/11,Cardinals,21,Washington,22,64 F,Overcast,8,2011,2
,,,,,,,,,
9/20/09,Saints,48,Eagles,22,69 F,A Few Clouds,3,2009,2
9/15/24,49ers,17,Vikings,23,79 F,Partly Cloudy,8,2024,2
9/15/24,Raiders,26,Ravens,23,78 F,Clear,13,2024,2
9/18/22,Cardinals,29,Raiders,23,90 F,Clear,10,2022,2
9/15/19,Cardinals,17,Ravens,23,81 F,Clear,3,2019,2
9/18/16,Cowboys,27,Washington,23,84 F,Clear,5,2016,2
9/20/15,Cardinals,48,Bears,23,69 F,Partly Cloudy,3,2015,2
9/20/15,Dolphins,20,Jaguars,23,83 F,Clear,5,2015,2
9/15/13,Broncos,41,Giants,23,67 F,Fair,3,2013,2
9/13/12,Bears,10,Packers,23,54 F,Fair,3,2012,2
9/16/12,Vikings,20,Colts,23,74 F,A Few Clouds,3,2012,2
9/18/11,Packers,30,Panthers,23,67 F,Mostly Cloudy,5,2011,2
9/20/09,Seahawks,10,49ers,23,68 F,Fair,0,2009,2
9/21/09,Colts,27,Dolphins,23,85 F,Fair,10,2009,2
9/17/23,Ravens,27,Bengals,24,66 F,Clear,0,2023,2
9/17/23,Chargers,24,Titans,24,68 F,Mostly Cloudy,14,2023,2
9/18/22,Colts,0,Jaguars,24,81 F,Humid And Mostly Cloudy,6,2022,2
